case_id,sequence,expense_date,category,amount_gbp,claimant,approver,purpose,destination,venue,receipt_present,manager_approved,finance_approved,cfo_approved,catalog_available,catalog_unavailability_documented,travel_mode,transport_alternative_available,after_2200_work,alcohol_gbp,tip_gbp,requested_exception,notes
LAB-024,24,2026-10-24,travel,60,EMP-01,MGR-01,Client travel,,,yes,yes,yes,no,,,Taxi,no,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-025,25,2026-10-25,hotel,220,EMP-02,MGR-01,Client workshop; overnight travel required,Lyon,Hotel,yes,yes,no,no,,,,,,,,no,Standard business trip
LAB-026,26,2026-10-26,meal,36,EMP-02,MGR-01,Work planning meeting,,Office,yes,yes,no,no,,,,,,0,0,no,Refreshments during meeting
LAB-027,27,2026-10-27,equipment,45,EMP-02,MGR-01,Workstation equipment,,External retailer,yes,yes,no,no,no,no,,,,,,no,Urgent replacement
LAB-028,28,2026-10-28,travel,28,EMP-02,MGR-01,Client travel,,,yes,yes,no,no,,,Rail,yes,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-029,29,2026-10-29,hotel,325,EMP-03,MGR-01,Client workshop; overnight travel required,Paris,Hotel,yes,yes,no,no,,,,,,,,no,Standard business trip
LAB-030,30,2026-10-30,meal,125,EMP-03,MGR-01,Team celebration,,Restaurant,yes,yes,no,no,,,,,,0,12,yes,Meal followed a separate meeting
LAB-031,31,2026-10-31,equipment,330,EMP-03,MGR-01,Workstation equipment,,External retailer,yes,yes,no,no,yes,no,,,,,,no,Routine purchase
LAB-032,32,2026-11-01,travel,92,EMP-03,MGR-01,Client travel,,,yes,yes,no,no,,,Taxi,no,yes,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-033,33,2026-11-02,hotel,375,EMP-04,MGR-01,Client workshop; overnight travel required,Paris,Hotel,yes,no,no,no,,,,,,,,no,Standard business trip
LAB-034,34,2026-11-03,meal,175,EMP-04,MGR-01,Work planning meeting,,Office,yes,no,no,no,,,,,,0,0,no,Refreshments during meeting
LAB-035,35,2026-11-04,equipment,675,EMP-04,MGR-01,Workstation equipment,,External retailer,yes,no,no,no,yes,no,,,,,,no,Routine purchase
LAB-036,36,2026-11-05,travel,120,EMP-04,MGR-01,Client travel,,,yes,no,no,no,,,Rail,yes,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-037,37,2026-11-06,hotel,410,EMP-05,MGR-01,Client workshop; overnight travel required,Lyon,Hotel,yes,yes,yes,no,,,,,,,,yes,Large event week
LAB-038,38,2026-11-07,meal,245,EMP-05,MGR-01,Team celebration,,Restaurant,yes,yes,yes,no,,,,,,20,0,no,Refreshments during meeting
LAB-039,39,2026-11-08,equipment,1060,EMP-05,MGR-01,Workstation equipment,,External retailer,yes,yes,yes,no,yes,no,,,,,,no,Routine purchase
LAB-040,40,2026-11-09,travel,180,EMP-05,MGR-01,Client travel,,,yes,yes,yes,no,,,Taxi,yes,yes,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-041,41,2026-11-10,hotel,265,EMP-01,MGR-01,Client workshop; overnight travel required,Paris,Hotel,no,yes,no,no,,,,,,,,no,Standard business trip
LAB-042,42,2026-11-11,meal,58,EMP-01,MGR-01,Work planning meeting,,Office,no,yes,no,no,,,,,,0,0,no,Refreshments during meeting
LAB-043,43,2026-11-12,equipment,250,EMP-01,MGR-01,Workstation equipment,,External retailer,no,yes,no,no,no,yes,,,,,,no,Urgent replacement
LAB-044,44,2026-11-13,travel,56,EMP-01,MGR-01,Client travel,,,no,yes,no,no,,,Rail,yes,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
LAB-045,45,2026-11-14,hotel,355,EMP-02,MGR-01,Client workshop; overnight travel required,Paris,Hotel,yes,yes,no,no,,,,,,,,no,Standard business trip
LAB-046,46,2026-11-15,meal,110,EMP-02,MGR-01,Work planning meeting,,Office,yes,yes,no,no,,,,,,0,0,no,Refreshments during meeting
LAB-047,47,2026-11-16,equipment,95,EMP-02,EMP-02,Workstation equipment,,External retailer,yes,yes,no,no,yes,no,,,,,,no,Routine purchase
LAB-048,48,2026-11-17,travel,98,EMP-02,MGR-01,Client travel,,,yes,yes,no,no,,,Taxi,no,no,,,no,"Alternative transport status is a recorded fact, not an interpretation"
